Id,Label,Node_value,Node_cluster,Node_cluster_len,Node_lineage,Node_lineage_raw,Node_lineage2
3207347,3207347-FL.1.5,100,907,1139,FL.1.5,FL.1.5,XBB
3207653,3207653-XBB.1.16.6,1000,129,4992,XBB.1.16.6,XBB.1.16.6,XBB
3209293,3209293-XBB.1.16.13,100,25,13813,XBB.1.16.13,XBB.1.16.13,XBB
3212363,3212363-XBB.1.5.70,100,661,1433,XBB.1.5.70,XBB.1.5.70,XBB
3213435,3213435-XBB.1.5.70,100,661,1433,XBB.1.5.70,XBB.1.5.70,XBB
3213835,3213835-JD.1,100,6,38574,JD.1,JD.1,XBB
3214885,3214885-HF.1,100,25,13813,HF.1,HF.1,XBB
3215270,3215270-EG.5.1.4,100,434,1752,EG.5.1.4,EG.5.1.4,XBB
3216115,3216115-XBB.2.3.11,100,174,6808,XBB.2.3.11,XBB.2.3.11,XBB
3216616,3216616-EG.5.1.4,100,434,1752,EG.5.1.4,EG.5.1.4,XBB
3216651,3216651-EG.5.1.4,100,434,1752,EG.5.1.4,EG.5.1.4,XBB
3217446,3217446-DV.7.1,1000,640,1456,DV.7.1,DV.7.1,DV.7.1
3218048,3218048-XBB.1.16.1,100,651,1441,XBB.1.16.1,XBB.1.16.1,XBB
3218050,3218050-FL.1.5.1,1000,800,1266,FL.1.5.1,FL.1.5.1,XBB
3220376,3220376-XBB.1.16.11,100,698,1383,XBB.1.16.11,XBB.1.16.11,XBB
3220840,3220840-JD.1,100,6,38574,JD.1,JD.1,XBB
3220950,3220950-GS.4,100,174,6808,GS.4,GS.4,XBB
3222361,3222361-HF.1,1000,912,1136,HF.1,HF.1,XBB
3222959,3222959-EG.5.1,100,857,1200,EG.5.1,EG.5.1,XBB
3223320,3223320-JD.1,100,6,38574,JD.1,JD.1,XBB
3226460,3226460-XBB.1.5.70,100,661,1433,XBB.1.5.70,XBB.1.5.70,XBB
3228375,3228375-GK.2.1,100,661,1433,GK.2.1,GK.2.1,XBB
3228394,3228394-GK.1.1,100,505,1645,GK.1.1,GK.1.1,XBB
3229852,3229852-XBB.1.16.15,1000,712,1363,XBB.1.16.15,XBB.1.16.15,XBB
3231107,3231107-GK.1.1,100,505,1645,GK.1.1,GK.1.1,XBB
3231503,3231503-XBB.1.16.11,100,698,1383,XBB.1.16.11,XBB.1.16.11,XBB
3232347,3232347-FL.1.5.1,1000,158,3691,FL.1.5.1,FL.1.5.1,XBB
3233082,3233082-JD.1,100,6,38574,JD.1,JD.1,XBB
3234485,3234485-EG.5.1.6,100,694,1387,EG.5.1.6,EG.5.1.6,XBB
3235797,3235797-EG.5.1.4,1000,434,1752,EG.5.1.4,EG.5.1.4,XBB
3236297,3236297-GS.4,100,174,6808,GS.4,GS.4,XBB
3236629,3236629-EG.5.1.6,100,694,1387,EG.5.1.6,EG.5.1.6,XBB
3237284,3237284-GK.1.1,100,406,1813,GK.1.1,GK.1.1,XBB
3239297,3239297-HK.3,1000,49,8326,HK.3,HK.3,XBB
3240793,3240793-GK.2.1,1000,661,1433,GK.2.1,GK.2.1,XBB
3244764,3244764-GS.4.1,100,653,1440,GS.4.1,GS.4.1,XBB
3245081,3245081-HV.1,1000,125,3400,HV.1,HV.1,XBB
3245861,3245861-XBB.2.3.11,100,174,6808,XBB.2.3.11,XBB.2.3.11,XBB
3246837,3246837-BA.2,100,286,5105,BA.2,BA.2,BA.2
3247185,3247185-JG.3,1000,241,2708,JG.3,JG.3,JG.3
3247324,3247324-BA.2,100,286,5105,BA.2,BA.2,BA.2
3248401,3248401-KC.1,100,907,1139,KC.1,KC.1,
3249191,3249191-XBB.1.16.11,1000,698,1383,XBB.1.16.11,XBB.1.16.11,XBB
3249623,3249623-JD.1.1,1000,196,3605,JD.1.1,JD.1.1,XBB
3250729,3250729-HV.1,1000,60,6324,HV.1,HV.1,XBB
3250800,3250800-GK.1.1,1000,406,1813,GK.1.1,GK.1.1,XBB
3252455,3252455-GS.4,100,653,1440,GS.4,GS.4,XBB
3252620,3252620-GS.4.1,100,653,1440,GS.4.1,GS.4.1,XBB
3254584,3254584-EG.5.1.6,100,694,1387,EG.5.1.6,EG.5.1.6,XBB
3255415,3255415-GS.4.1,1000,653,1440,GS.4.1,GS.4.1,XBB
3255675,3255675-EG.5.1.6,1000,694,1387,EG.5.1.6,EG.5.1.6,XBB
3256955,3256955-JD.1.1,100,6,38574,JD.1.1,JD.1.1,XBB
3257215,3257215-KC.1,1000,907,1139,KC.1,KC.1,
3258757,3258757-EG.5.1.8,100,857,1200,EG.5.1.8,EG.5.1.8,XBB
3260216,3260216-EG.5.1.8,1000,857,1200,EG.5.1.8,EG.5.1.8,XBB
3262069,3262069-HK.3.2,100,780,1284,HK.3.2,HK.3.2,XBB
3266047,3266047-BA.2.86.1,100,286,5105,BA.2.86.1,BA.2.86.1,BA.2
3266054,3266054-BA.2.86.1,100,286,5105,BA.2.86.1,BA.2.86.1,BA.2
3270716,3270716-BA.2.86.1,100,286,5105,BA.2.86.1,BA.2.86.1,BA.2
3274622,3274622-BA.2.86.1,1000,286,5105,BA.2.86.1,BA.2.86.1,BA.2
3275266,3275266-HV.1,100,694,1387,HV.1,HV.1,XBB
3277242,3277242-HK.3.2,100,780,1284,HK.3.2,HK.3.2,XBB
3278179,3278179-HK.3.2,100,780,1284,HK.3.2,HK.3.2,XBB
3278553,3278553-KC.1,100,907,1139,KC.1,KC.1,
3286756,3286756-BA.2.86.1,100,286,5105,BA.2.86.1,BA.2.86.1,BA.2
3287931,3287931-JN.1.1,100,286,5105,JN.1.1,JN.1.1,JN
3287932,3287932-JN.1.1,100,286,5105,JN.1.1,JN.1.1,JN
3289866,3289866-JN.1.1,100,286,5105,JN.1.1,JN.1.1,JN
3292508,3292508-HK.3.2,100,780,1284,HK.3.2,HK.3.2,XBB
3292688,3292688-HK.3.2,1000,780,1284,HK.3.2,HK.3.2,XBB
3299562,3299562-JN.1,1000,27,20955,JN.1,JN.1,JN
3302727,3302727-JN.1.1,1000,412,1801,JN.1.1,JN.1.1,JN
3304420,3304420-JN.1.1,1000,429,1759,JN.1.1,JN.1.1,JN
3315865,3315865-JN.1.4.5,1000,767,1302,JN.1.4.5,JN.1.4.5,JN
3316475,3316475-JN.1,1000,436,1748,JN.1,JN.1,JN
3327570,3327570-JN.1.4,1000,169,3264,JN.1.4,JN.1.4,JN
3335828,3335828-GS.4.1,100,653,1440,GS.4.1,GS.4.1,XBB
3350575,3350575-JG.3,100,241,2708,JG.3,JG.3,JG.3
